PLUSPLUS,INC
MINUSMINUS,DEC
NAME,IDENT
RRSHIFT,SHR_UN 
RSHIFT,SHR
LSHIFT,SHL
NULL,NULL_LIT
FALSE,BOOL_LIT
TRUE,BOOL_LIT
STRING_LITERAL,STRING_LIT
CHAR_LITERAL,CHAR_LIT
GTEQ,GEQ
LTEQ,LEQ
EQ,EQL
AND,LAND
OR,LOR
ELLIPSES,ELLIPSIS
LSHIFT_ASSIGN,SHL_ASSIGN
TIMES_ASSIGN,MUL_ASSIGN
DIVIDE_ASSIGN,QUO_ASSIGN
REMAINDER_ASSIGN, REM_ASSIGN
PLUS_ASSIGN, ADD_ASSIGN
MINUS_ASSIGN,SUB_ASSIGN
LSHIFT_ASSIGN,SHL_ASSIGN
RSHIFT_ASSIGN,SHR_ASSIGN
OR_ASSIGN,OR_ASSIGN
AND_ASSIGN,AND_ASSIGN
XOR_ASSIGN,XOR_ASSIGN
RRSHIFT_ASSIGN,SHR_UN_ASSIGN
\'{\',LBRACE
\'}\',RBRACE
\'(\',LPAREN
\')\',RPAREN
\'[\',LBRACK
\']\',RBRACK
\'+\',ADD
\'-\',SUB
\'*\',MUL
\'.\',PERIOD
\';\',SEMICOLON
\',\',COMMA
\'@\',ATRATE
\'&\',AND
\'->\',ARROW
\'=\',ASSIGN
\':\',COLON
\'::\',COLON_SEP
\'>\',GTR
\'~\',LNOT
\'<\',LSS
\'!\',NOT
\'|\',OR 
\'?\',QUES
\'/\',QUO 
\'%\',REM 
\'^\',XOR
